NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Study Type,Study Design,Start Date,Completion Date,Locations
NCT05781633,"The Efficacy and Safety of Eutideron, Etoposide, and Bevacizumab in Patients With Brain Metastases From Breast Cancer.",https://clinicaltrials.gov/study/NCT05781633,,RECRUITING,"This study was a single-arm, open-label, phase II study of breast cancer patients with brain metastases. Eligible patients received a regimen of eutidrone(30mg/m2/d,iv,d1-5,21d/cycle), etoposide(30mg/m2/d,iv,d1-3,21d/cycle), and bevacizumab (10mg/kg,d1,21d/cycle).At least 4 to 6 cycles were administered, and if patients had a response or stable disease, bevacizumab was used as maintenance therapy until disease progression or intolerable toxicity.",NO,"Mammary Neoplasms, Human",DRUG: eutidrone etoposide bevacizumab,"CNS Objective response rate (CNS-ORR), The proportion of patients with complete response (CR) and partial response (PR) evaluated as the best response observed from enrollment to progression of all CNS target lesions assessed according to RANO-BM criteria among the total number of patients who could be evaluated., 12 months","CNS Clinical benefit rate(CNS-CBR), Percentage of patients who achieved complete response (CR), partial response (PR), or stable disease (SD) in all CNS target lesions assessed by RANO-BM criteria within 12 weeks., 3 months|CNS Progression-free survival (CNS-PFS), Time from enrollment to the first radiographic documented disease progression (PD) of all CNS target lesions (RANO-BM criteria) or death from any cause without progression was recorded., 36 months|Objective response rate (ORR), Partial response is defined as a decrease by 30% or more in sums of longest diameter of measurable target lesions, 12 months|Progression-free survival（PFS）, Time from enrollment to the first radiographically confirmed disease progression (PD) (RECIST 1.1 criteria) or death from any cause without documented progression, 36 months|Overall survival (OS), Time from the enrollment to death of any cause, 36 months",,Tianjin Medical University Cancer Institute and Hospital,,FEMALE,"ADULT, OLDER_ADULT",NA,43,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-07-20,2025-07-20,"Yehui Shi, Tianjin, Tianjin, 300060, China"
NCT05976620,Clinical Study of 18F-FAPI-RGD in Breast Tumors,https://clinicaltrials.gov/study/NCT05976620,,RECRUITING,The goal of this observational study is to learn about the value of 18F-FAPI-RGD PET/CT imaging in Breast Tumors. Participants will undergo clinical evaluation and 18F-FAPI-RGD PET/CT examination.,NO,Breast Tumors,,"Correlation between clinical indicators and PET/CT results, Correlation of Immunohistochemical indexes, ultrasound, X-ray, CT, MRI, tumor markers，estrogen assay and 18F-FAPI-RGD PET/CT results, 2 months",,,Sichuan Provincial People's Hospital,,ALL,"ADULT, OLDER_ADULT",,30,OBSERVATIONAL,Observational Model: |Time Perspective: p,2023-06-20,2024-02,"Departments of Nuclear Medicine, Sichuan Provincial People's Hospital, Chengdu, Sichuan, 610072, China"
NCT05665920,Efficacy and Safety of Ultra_HYPofractionated RadiotHerapy in Women With BrEast CaNcer Receiving Regional Nodal Radiation vs Nodal Moderate Hypofractionated Radiotherapy,https://clinicaltrials.gov/study/NCT05665920,HYPHEN,RECRUITING,"The reduction in the number of fractions in radiotherapy is especially attractive in several senses, and even more so considering breast cancer, which has a high incidence and generally favorable prognosis. Thus, as a reference Institution, the investigators intend to start the treatment of selected patients with a radiotherapy scheme of 26 Gy / 5 fractions in one week, in a controlled manner, through this project.The investigators consider the moment extremely propitious to start the study, as in addition to having the first publication of a large randomized study, proving the effectiveness and safety of the strategy, the investigators will be able to benefit more patients and the health system itself by minimizing the daily visits of these patients at the hospital.",NO,Malignant Breast Neoplasm,RADIATION: Ultra-hypofractionated whole breast radiotherapy|RADIATION: Standard Radiation,"Locoregional recurrence (LRR), To estimate and compare the rate of local recurrence between the experimental and control arms., 10 years","Overall survival, Overall survival time, defined as number of days from date of initial diagnosis until death or end of follow-up., 10 years|Disease-free survival, Disease-free survival, defined as number of days from surgery until the first occurrence of local recurrence, distant metastases, tumor-related death, death without prior progression, or end of follow-up., 10 years|Locoregional control, Locoregional control defined as biopsy-proven recurrence of breast cancer involving the chest wall, breast, axilla, internal breast or supraclavicular nodes., 10 years|Early and late adverse effects in normal tissues, To evaluate the results reported by patient and evaluated by doctors, as well as, photographic assessments., 10 years|Late adverse effects, To evaluate if the patient had symptoms of swelling or edema in the arm, breast shrinkage, hardness, pigmentation, necrosis, pain and tenderness in the breast., 10 years|Acute toxicity rate, To evaluate acute toxicity rate. The maximum grade for acute toxicity will be recorded for each patient at each treatment evaluation using RTOG (Radiation Therapy Oncology Group)., 10 years|Evaluation of quality of life change by European Organization for Research and Treatment of Cancer Breast-Cancer-Specific Quality of Life Questionnaire (EORTC QLQ-BR23), To evaluate the patient quality of life with the help of the European Organization for Research and Treatment of Cancer Breast-Cancer-Specific Quality of Life Questionnaire (EORTC QLQ-BR23). The 23-item EORTC QLQ BR23 contains two breast cancer specific functional scales (body image and sexuality) and three symptom scales evaluating arm symptoms, breast symptoms, and systemic therapy symptoms. The minimum and maximum values are 0 and 100, and higher scores mean a better outcome., Baseline and 3 months, 6 months, 12 months, 2 years, 10 years after treatment end|Measurement Satisfaction of Body Image of the participants, To evaluate the patient quality of life and patient satisfaction with the help of the Body Image Scale (BIS). Scores are interpreted according to the guidelines of the Scoring Manual. The Body Image Scale (BIS) is a self-assessment scale designed to assess cancer patients' perceptions of their appearance and identify any changes to those perceptions resulting from a disease or a treatment. The total score ranges from 0 to 30. A higher score means a higher level of body image disturbance., Baseline and 3 months, 6 months, 12 months after radiotherapy and 2 years, 10 years after treatment end",,Instituto Brasileiro de Controle do Cancer,,FEMALE,"ADULT, OLDER_ADULT",NA,36,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2022-10-18,2030-12-31,"IBCC Oncologia, Sao Paulo, SP, 03102-002, Brazil"
NCT05408260,A Study to Compare the Effectiveness of Two Types of Ultrasound Technologies in Women Who Have Had Breast Cancer,https://clinicaltrials.gov/study/NCT05408260,,RECRUITING,"This clinical trial evaluates automated breast ultrasound (ABUS) and handheld ultrasound (HHUS) for the screening of women who have undergone breast reconstruction after breast cancer. Ultrasounds use high-frequency sound waves to create pictures of internal organs and tissues. ABUS has been found to be equal to HHUS for whole breast screening, but no data exist on its use for screening of reconstructed patients. This clinical trial evaluates the feasibility of using ABUS versus HHUS to screen women who have undergone reconstruction.",NO,Malignant Breast Neoplasm,PROCEDURE: Ultrasonography|PROCEDURE: Automated Breast Ultrasound,"Detection of the residual tissue (i.e., artifact) in reconstructed nipple sparing mastectomy (NSM) and skin sparing mastectomy (SSM) patients by automated breast ultrasound (ABUS) and handheld ultrasound (HHUS), This is a binary endpoint. The rate of artifact will be compared between handheld and automated scanning using McNemar test., Up to 1 year",,,Thomas Jefferson University,,FEMALE,"ADULT, OLDER_ADULT",NA,30,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SCREENING,2022-11-18,2024-12,"Sidney Kimmel Cancer Center at Thomas Jefferson University, Philadelphia, Pennsylvania, 19107, United States"
NCT04174391,Lifestyles and Breast Cancer,https://clinicaltrials.gov/study/NCT04174391,LifeBreast,RECRUITING,"Background: In Spain, 1 out of every 11 women will have a breast cancer before the age of 85 years and breast cancer is the leading cause of potential years of life lost. The randomized intervention in PREDIMED trail, using Mediterranean diet with free provision of extra virgin olive oil (MedDiet+EVOO) dramatically and significantly reduced the occurrence of cases of postmenopausal breast cancer.

Objectives: Assess the efficacy of a nutritional intervention with MedDiet+EVOO for the prevention of relapses among women with early breast cancer.

Methods: Randomized, multicenter trial (LifeBreast) among 766 women diagnosed with early breast cancer. Participants will be randomized in a 1:1 ratio to i) MedDiet+EVOO or ii) low-fat diet. Changes in circulating tumor cells, inflammatory biomarkers, oxidative stress and quality of life will be evaluated. The intervention will be delivered by face-to-face interviews with study dietitian, phone calls, and online tools. Participants in the MedDiet+EVOO group will receive 0.5l/week of EVOO and participants in the low-fat group will receive allotments of different foods, both at no cost. Generalized estimating equations will be used to estimate between-group differences in the following outcomes: circulating tumor cells, inflammatory biomarkers, oxidative stress, and quality of life will be evaluated.",NO,Malignant Tumor of Breast,BEHAVIORAL: Mediterranean diet supplemented with extra-virgin olive oil|BEHAVIORAL: Low-fat diet,"Presence of circulating tumour cells, Blood samples will be collected at baseline and yearly thereafter. Presence of circulating tumour cells will be determined with immunohistochemical techniques and defined as ≥1 circulating tumour cell in 10 ml of peripheral blood., average follow-up: 1.5 years|Changes in inflammatory markers, Changes in the inflammatory profile of the participants as plasma cytokines - such as IL-6 -, changes in oxidative stress response with the lipid peroxidation test (LPO test), and changes in DNA damage with electrophoresis single-cell alkaline (comet Assay) in buffy coat will be assessed., average follow-up: 1.5 years","Changes in quality of life, Changes in quality of life will be assessed with the 36-Item Short Form Survey (SF-36) questionnaire. The questionnaire score ranges from 0-100, with higher score meaning better outcomes., average follow-up: 1.5 years|Changes in quality of life, Changes in quality of life will be assessed with the the Functional Assessment of Cancer Therapy - Breast (FACT-B) questionnaire. The questionnaire score ranges from 0-148, with higher score meaning better outcomes., average follow-up: 1.5 years|Changes in body mass-index, Weight and height will be ascertained at baseline and yearly thereafter Weight and height will be directly measured in triplicate by trained study personnel, average follow-up: 1.5 years","Changes in lipid profile, Blood samples will be collected at baseline and yearly thereafter. Blood samples will be obtained after an overnight fast to determine levels of cholesterol using standard enzymatic methods., average follow-up: 1.5 years|Changes in lipid profile, Blood samples will be collected at baseline and yearly thereafter. Blood samples will be obtained after an overnight fast to determine levels of triglycerides using standard enzymatic methods., average follow-up: 1.5 years|Changes in blood glucose, Blood samples will be collected at baseline and yearly thereafter. Blood samples will be obtained after an overnight fast to determine levels of fasting blood glucose using standard enzymatic methods., average follow-up: 1.5 years|Changes in mammographic density, All available digital mammograms during follow-up of the contralateral non-affected breast of each woman will be collected, they will be read by an experienced radiologist in a blind way (without knowing the allocation group) using the DM-Scan program., average follow-up: 1.5 years",University of Navarra,Instituto de Salud Carlos III,FEMALE,"ADULT, OLDER_ADULT",NA,766,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",2020-05-29,2024-12,"University of Cantabria, Santander, Cantabria, 39011, Spain|University of Navarra-Instituto de Investigación Sanitaria de Navarra, Pamplona, Navarra, 31008, Spain|Instituto de Investigación Biosanitaria de Granada ibs.GRANADA, Granada, 18016, Spain|University of Jaen, Jaen, 23071, Spain"
NCT06172270,Sub-regional Tumor Segmentation Based on CEUS Perfusion Characteristics: Enhancing Breast Tumor Diagnosis,https://clinicaltrials.gov/study/NCT06172270,,RECRUITING,"The goal of this study is to investigate breast cancer's internal heterogeneity and enhance diagnostic accuracy. We aim to achieve this by utilizing Contrast-Enhanced Ultrasound (CEUS) technology, which provides detailed information about tumor perfusion dynamics. Traditional biopsy methods have limitations due to the invasive nature and complexity of breast cancer heterogeneity.

Participants in this study will undergo preoperative breast cancer diagnosis using CEUS technology, which is safe, cost-effective, and convenient. Dynamic CEUS videos will be used to cluster perfusion characteristics at the pixel level within breast tumors, allowing us to divide the tumors into distinct subregions based on these clusters. We will then explore the correlation between these perfusion subregions and the diagnosis of benign or malignant breast tumors.

Our ultimate aim is to develop diagnostic models that utilize non-invasive imaging data to enhance breast cancer diagnosis. This approach reduces subjective judgments in the diagnostic process, potentially improving diagnostic accuracy. It also provides valuable information for personalized treatment decisions, thus advancing the field of breast cancer treatment.",NO,Breast Tumor,,"Accuracy, The proportion of breast tumors (benign or malignant) correctly classified by the diagnostic model., 6 months",,,"Second Affiliated Hospital, School of Medicine, Zhejiang University",,FEMALE,"ADULT, OLDER_ADULT",,200,OBSERVATIONAL,Observational Model: |Time Perspective: p,2023-07-01,2024-12-01,"Department of Ultrasound, Second Affiliated Hospital, School of Medicine, Zhejiang University, Hangzhou, Zhejiang, 310000, China"
NCT05858762,Artificial Intelligence for Automated Diagnosis of Breast Cancer,https://clinicaltrials.gov/study/NCT05858762,AICAMAMMELLA,RECRUITING,"Mammography is a two-dimensional imaging technique which involves the tissues overlapping under the projective image; dense glandular tissue above or below the lesion can reduce the visibility of the lesion.

The trouble could be the interpretation of the image obtained which may lead to the inability to visualize a fist stage cancer and the probability that to a healthy person will be diagnosed a pathology that is not present (false positive). The introduction of an almost three-dimensional technique imaging called breast digital tomosynthesis (DBT) can overcome most limitations. In the last 5 years image analysis methods based on Artificial Intelligence (, AI) have also been massively introduced in breast cancer detection. The study is a prospective observational study based on Artificial intelligence whose the mail goal is to develop a method to identify a lesion.",NO,Breast Cancer Diagnosis,DIAGNOSTIC_TEST: Breast digital tomosynthesis,"Artificial Intelligence system to detect a lesion, Lesion detction is based on breast density, case type, BIRADS assessment categories, mammographic appearance, size and pathological profile of malignant lesions, 12 months",,,Regina Elena Cancer Institute,,FEMALE,"ADULT, OLDER_ADULT",,200,OBSERVATIONAL,Observational Model: |Time Perspective: p,2020-10-20,2023-12-31,"Università degli Studi di Napoli Federico II, Napoli, 80138, Italy|""Regina Elena"" National Cancer Institute, Rome, 00144, Italy"
NCT05989022,Comparison of Low-dose Spiral Breast CT With MRI in Major Indications of MRI for Breast Diagnostics,https://clinicaltrials.gov/study/NCT05989022,,RECRUITING,Comparison between two diagnostic modalities for breast cancer diagnosis. Two different imaging systems are compared to evaluate the performance of the two systems,NO,Breast Cancer Diagnosis,DIAGNOSTIC_TEST: Injection of contrast enhancing agent Gadovist for MRI investigation|DIAGNOSTIC_TEST: Injection of contrast enhancing agent Imeron for B-CT investigation,"Non-inferiority of CE-BCT compared with CE-MRI in Breast Cancer diagnosis, The primary objective is to demonstrate non-inferiority of CE-BCT with CE-MRI in the BI-RADS detection at the lesion level in the diagnosis of eight indications for CE-MRI diagnosis.

Patients with with major indications of CE-MRI will receive an additional diagnosis with CE-BCT. The images of both modalities will be compared by 3 independent raters which were randomly assigned to pseudonymized images. That rating follow the six BI-RADS Scales on lesion basis. The descriptive data will be compared according the evaluated BI-RADS scores of the raters and both modalities. For the non-inferiority test, the mean difference of lesion-wise BI-RADS scores between modalities will be used; it is expected that the mean BI-RADS values at lesion level are almost equal for both modalities., one year","Collect data for comfort of CE-BCT and CE-MRI, The secondary objective is to collect data for comfort of CE-BCT and CE-MRI using a patient questionnaire of closed questions. The questionnaire asks in 7 categories for 1. Overall rating of the examination 2. Comfort of the device during examination 3. The feel of the operating noise of the device 4. The rating of the space provided by the device 5. The duration of the examination 6. The question if the patient would agree to have the examination again, if necessary with the device 7. After both modalities which diagnostic method would be the preference, MRI or BCT. Every question can be rated with 5 possible ratings from very good to very bad or adapted possibilities like pleasantly quit to unpleasantly loud., one year",,AB-CT - Advanced Breast-CT GmbH,CRO Dr. med. Kottmann GmbH|RQM+ (Germany) GmbH,FEMALE,"ADULT, OLDER_ADULT",NA,428,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,2023-11-24,2025-12,"Radiologisches Institut Universitätsklinikum Erlangen, Erlangen, 91054, Germany|Stichting Martini Ziekenhuis, Groningen, 9728 NT, Netherlands|Leiden University Medical Centre, Leiden, 2333 ZA, Netherlands"
NCT02869607,Institut Paoli Calmettes Breast Cancer Database,https://clinicaltrials.gov/study/NCT02869607,,RECRUITING,Database of Institut Paoli-Calmettes patients diagnosed with breast cancer,NO,Breast Cancer Diagnosis,OTHER: Data collection,"Survival of patients with breast cancer, Overall survival of all patients who come in the center, 10 years","Collection of patients characteristics, Collection of characteristics of patients treated at Institut Paoli Calmettes in order to set up prospective and retrospective studies, 10 years",,Institut Paoli-Calmettes,,ALL,"ADULT, OLDER_ADULT",,45000,OBSERVATIONAL,Observational Model: |Time Perspective: p,1995-01,2030-12,"Institut Paoli Calmettes, Marseille, Bouches du Rhone, 13009, France"
NCT04692818,3D Ultrasound Breast Imaging,https://clinicaltrials.gov/study/NCT04692818,,RECRUITING,The purpose of this research is to study the efficacy of a new ultrasound imaging method for diagnosis of breast mass.,NO,Breast Tumor,DIAGNOSTIC_TEST: GE Logiq E10 clinical ultrasound scanner|DIAGNOSTIC_TEST: Verasonics research scanner,"BI-RADS Score, BI-RADS scores will be obtained using 2D B-mode ultrasound images from the GE Logiq E10 clinical scanner, and using 3D B-mode images from the Verasonics scanner. A 7-point BI-RADS scale will be used, with a score of 1, 2, or 3 considered negative and 4a, 4b, 4c, and 5 considered positive., Baseline",,,Mayo Clinic,United States Department of Defense,FEMALE,"ADULT, OLDER_ADULT",NA,125,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH,2021-11-19,2025-12-31,"Mayo Clinic in Rochester, Rochester, Minnesota, 55905, United States"
